model,(Intercept),kelp,seagrass,rockyshore,slope_subtidal,water25m,freshwater,h1000m,h100m,silt_percent,df,logLik,AICc,delta,weight
mm06,5.501014846480144,NA,NA,NA,NA,NA,NA,2.594058183957245,-2.1249511889230632,-47.37054238584998,11,-130.46791200573054,290.700529893814,0,0.881269237789792
mm05,11.661937946274806,NA,NA,NA,NA,NA,NA,NA,NA,-37.500546379850725,9,-135.93104873116673,294.86209746233345,4.161567568519445,0.110010894274178
mm04,4.699299862324678,NA,NA,NA,NA,NA,NA,2.515171579027584,-2.1203684132865956,NA,10,-136.8249281112155,299.9355705081453,9.235040614331297,0.00870452388101998
mm02,1.579425341295865,NA,NA,0.06033570326842835,0.6229121354425436,3.5254068807525566e-4,NA,NA,NA,NA,11,-141.46859863236716,312.70190314708725,22.001373253273243,0.0000147085923458993
mm03,9.413994227918163,NA,NA,NA,NA,NA,3.0132793302731545e-4,NA,NA,NA,9,-148.0000942075696,319.0001884151392,28.29965852132517,0.000000630835089993691
mm01,13.044212014570176,-0.001988578751665632,-0.0014627781125844358,NA,NA,NA,NA,NA,NA,NA,10,-151.27224879711582,328.8302118799459,38.129681986131914,0.0000000046275739639462
