site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
pba,2015,5,20,c0,0,11.3,24.1,8.1,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,c1,1,11.3,24.2,8.2,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,c3,1.8,11.3,24.2,8.2,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,d0,0,10.9,24.1,8.2,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,d1,1,10.8,24.2,8.2,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,d5,5,10.9,24.3,8.2,3.5,-128.11865,51.64581,,,,,,,,,
pba,2015,5,20,d10,10,9.8,24.6,8,3.5,-128.11865,51.64581,,,,,,,,,
fei8,2015,5,21,a0,0,15.8,10.9,8.1,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,b0,0,15.9,15.3,8.1,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,b1,1,14,21.7,8.1,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,c0,0,15.9,3.4,8.2,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,c1,0,14.3,21.5,8.2,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,c3,2,12.4,22.3,8.2,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,d0,0,15.7,9.9,8.2,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,d1,1,13.8,21.5,8.2,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,d5,5,10.5,23.3,8.1,10,-128.11801,51.64911,,,,,,,,,
fei8,2015,5,21,d10,10,9.6,23.8,7.7,10,-128.11801,51.64911,,,,,,,,,
fei9,2015,5,21,a0,0,14.7,4.5,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,b0,0,14.6,8.7,8.1,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,b1,1,13.8,21.1,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,c0,0,14.6,9,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,c1,0,13.7,21.8,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,c3,2,12.8,22.5,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,d0,0,14.8,12,8.2,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,d1,1,14.4,20.6,8.3,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,d5,5,10.4,23.7,8,5,-127.71221,51.6049,,,,,,,,,
fei9,2015,5,21,d10,10,9.6,24.1,7.8,5,-127.71221,51.6049,,,,,,,,,
kis7,2015,5,23,a0,0,11.6,26.7,8,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,b0,0,11.2,26.7,7.9,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,b1,1,11.1,26.7,7.9,6.5,-128.25247,51.84163,,,,,,,,,
kis7,2015,5,23,c0,0,11.3,26.9,7.9,6.5,-128.25247,51.84163,,,,,,,,,
