site,year,month,day,net_extent_set_1,net_width_set_1,depth_extent_set_1,net_extent_set_2,net_width_set_2,depth_extent_set_2,area_set1,vol_set1,area_set2,vol_set2,notes
wfb,2014,9,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ssp,2014,9,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ppo,2014,9,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
rie1,2014,9,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
rie2,2014,9,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
rie3,2014,9,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
cas1,2015,6,15,40,14,2.1,35,18,2.1,539,566,595,625,
cas2,2015,6,15,50,10,1,50,10,1,489,245,489,245,
chp,2015,5,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
chp,2015,6,2,20,8,1.5,20,8,1.5,153,115,153,115,
chp,2015,7,3,40,10,1,40,8,1,389,195,313,157,
chp,2015,7,30,20,8,1.2,20,8,1.2,153,92,153,92,
chp,2015,9,11,20,8,1.5,23,9,1.5,153,115,198,149,
fan1,2015,7,5,25,10,1,20,8,1,239,120,153,77,
fan3,2015,7,5,25,9,1,30,10,1,216,108,289,145,
fei10,2015,6,18,25,10,2.5,25,10,2.5,239,299,239,299,
fei11,2015,6,18,20,10,2,25,10,2,189,189,239,239,
fei12,2015,7,14,30,7,1,30,7,1,205,102,205,102,
fei13,2015,8,12,20,11,2.5,20,11,2.5,207,259,207,259,
fei2,2015,7,14,40,9,3,45,10,3,351,527,439,659,
fei3,2015,8,2,30,10,3,25,9,3,289,434,216,324,
fei4,2015,8,2,20,10,3,25,10,3,189,284,239,359,
fei8,2015,5,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
fei9,2015,5,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
gog1,2015,8,15,40,8,1,30,8,1,313,157,233,117,
gog2,2015,7,6,40,20,1.5,30,20,1.5,757,568,557,418,
gog3,2015,7,6,40,20,3,40,14,3,757,1136,539,808,
gog4,2015,8,15,30,11,1.2,30,11,1.2,317,190,317,190,
hab1,2015,7,13,25,10,3,30,8,3,239,359,233,350,
hab2,2015,7,12,26,17,3,32,19,1.5,411,616,569,427,depth of set 2 approximate
hab4,2015,6,13,25,10,3,35,10,3,239,359,339,509,many euphasids observed on surface in bay
hab4,2015,7,13,30,8,3,45,9,3,233,350,396,594,
